open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1634356800000,61655.99000000,62178.97000000,61551.31000000,61747.64000000,1562.50432000,1634360399999,96639004.36338800,74296,802.82587000,49656960.01419340,0
1634360400000,61747.64000000,62378.42000000,61721.30000000,62133.82000000,1607.02426000,1634363999999,99833909.06549130,64752,825.84650000,51300393.61946060,0
1634364000000,62133.83000000,62319.77000000,61856.00000000,61856.00000000,1178.69805000,1634367599999,73166607.50588090,53509,626.07691000,38863995.48863740,0
1634367600000,61856.01000000,61975.29000000,61562.87000000,61733.96000000,1162.85485000,1634371199999,71854963.91826880,52870,590.60031000,36497069.46676150,0
1634371200000,61733.96000000,62062.55000000,61446.39000000,61529.95000000,2428.79926000,1634374799999,149877129.12918520,83513,1334.09370000,82298727.01765870,0
1634374800000,61529.94000000,61650.00000000,61385.42000000,61424.73000000,1850.65794000,1634378399999,113878258.19147050,56670,962.63620000,59239075.17992310,0
1634378400000,61424.72000000,61684.98000000,61324.79000000,61536.07000000,1569.99882000,1634381999999,96621393.40840650,63293,729.40337000,44887594.04869270,0
1634382000000,61536.07000000,61762.63000000,61430.00000000,61597.26000000,1352.99948000,1634385599999,83361702.28660870,64607,680.32173000,41911968.59124360,0
1634385600000,61597.26000000,61605.81000000,60398.73000000,60679.14000000,3799.57016000,1634389199999,231820637.85463560,126254,1671.05200000,101958006.35563430,0
1634389200000,60679.14000000,61100.00000000,60521.00000000,61017.59000000,2097.98682000,1634392799999,127657909.35848810,86132,1043.45924000,63491985.42488780,0
1634392800000,61017.61000000,61270.11000000,60750.00000000,60887.55000000,1657.39951000,1634396399999,101127022.91410440,62249,796.38190000,48592285.73652650,0
1634396400000,60887.55000000,61130.00000000,60642.59000000,60941.04000000,1533.33516000,1634399999999,93414880.26968890,67243,724.62380000,44150694.08757790,0
1634400000000,60941.04000000,61048.97000000,60515.91000000,60643.17000000,1110.38913000,1634403599999,67473380.91015460,47510,482.44011000,29317278.86690070,0
1634403600000,60643.17000000,60705.19000000,60150.00000000,60593.01000000,1939.75784000,1634407199999,117145324.99021020,65946,901.35628000,54437906.85749420,0
1634407200000,60593.00000000,61215.64000000,60512.26000000,61055.65000000,1146.72748000,1634410799999,69790973.31257020,41249,627.46377000,38190607.17419290,0
1634410800000,61055.65000000,61085.81000000,60808.10000000,60834.34000000,710.60376000,1634414399999,43330337.00323810,33296,326.41959000,19904433.05864150,0
1634414400000,60834.34000000,61065.77000000,60545.95000000,61029.00000000,981.56451000,1634417999999,59664130.22486730,38194,473.45936000,28778705.66266480,0
1634418000000,61027.39000000,61300.00000000,60668.19000000,60670.18000000,907.34879000,1634421599999,55338530.98079380,37154,438.86440000,26770494.09679040,0
1634421600000,60670.18000000,60938.77000000,60500.00000000,60795.35000000,624.15579000,1634425199999,37890395.59493310,27351,293.41859000,17812473.48401690,0
1634425200000,60795.34000000,61088.60000000,60701.09000000,60875.57000000,656.58612000,1634428799999,40017919.99871370,20521,309.65834000,18866913.51440330,0
1634428800000,60875.57000000,61167.95000000,60475.76000000,60916.18000000,1575.17935000,1634432399999,95791779.39297570,46769,741.76740000,45110309.56530920,0
1634432400000,60920.47000000,61405.94000000,60866.49000000,61077.62000000,1227.88100000,1634435999999,75068978.92898920,35261,661.36819000,40435839.72311640,0
1634436000000,61077.63000000,61220.82000000,60849.56000000,61100.00000000,750.95178000,1634439599999,45822311.15409330,24927,327.73458000,19999869.19018350,0
1634439600000,61100.00000000,61363.53000000,61044.44000000,61115.85000000,949.38944000,1634443199999,58125435.49550670,30311,448.86619000,27479654.12481810,0
