open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1640836800000,46504.00000000,46938.76000000,46490.01000000,46722.24000000,1127.42240000,1640840399999,52741906.53179440,31446,576.38350000,26960688.76341930,0
1640840400000,46722.25000000,46811.00000000,46577.00000000,46759.63000000,1116.94398000,1640843999999,52164641.42083120,29101,539.56956000,25198022.18137280,0
1640844000000,46761.93000000,46959.65000000,46702.82000000,46896.50000000,926.13329000,1640847599999,43367481.55044790,28825,487.17992000,22811789.65197500,0
1640847600000,46896.00000000,47105.37000000,46836.07000000,46980.71000000,1350.65584000,1640851199999,63491457.39909860,37430,673.16144000,31642309.62102110,0
1640851200000,46980.71000000,47195.07000000,46765.43000000,46795.75000000,1363.55046000,1640854799999,64041256.39545340,39743,614.77258000,28875761.52939480,0
1640854800000,46795.74000000,46993.12000000,46720.51000000,46753.42000000,1039.54077000,1640858399999,48722775.07186800,32576,510.57779000,23930457.52952920,0
1640858400000,46753.42000000,46962.93000000,46659.13000000,46952.91000000,805.19709000,1640861999999,37730149.00908600,27912,406.47231000,19046909.89621910,0
1640862000000,46952.91000000,47566.00000000,46888.99000000,47515.45000000,1578.22049000,1640865599999,74583404.67819090,46049,819.41553000,38717457.70484520,0
1640865600000,47515.45000000,47719.37000000,47400.00000000,47514.17000000,2014.69387000,1640869199999,95863925.27262040,52601,971.30500000,46224437.78843590,0
1640869200000,47514.16000000,47555.55000000,47300.00000000,47321.49000000,1350.13045000,1640872799999,64059198.10123910,41931,610.29243000,28959132.09028610,0
1640872800000,47321.50000000,47437.72000000,47166.97000000,47345.03000000,1333.65225000,1640876399999,63067838.44279740,41331,645.66930000,30532671.39759290,0
1640876400000,47345.02000000,47500.00000000,47118.69000000,47159.41000000,1054.54264000,1640879999999,49925863.60295320,33466,550.68142000,26068225.29306280,0
1640880000000,47159.42000000,47640.00000000,47092.13000000,47578.69000000,1554.92502000,1640883599999,73633540.33646240,41544,800.94650000,37925881.52592320,0
1640883600000,47578.69000000,47770.00000000,47467.08000000,47663.51000000,1127.83834000,1640887199999,53695547.20589740,34061,489.81899000,23320779.80285600,0
1640887200000,47663.50000000,47887.07000000,47474.58000000,47860.75000000,1145.17908000,1640890799999,54600805.52589530,34276,590.45727000,28158086.33412950,0
1640890800000,47860.74000000,47900.00000000,47528.49000000,47558.35000000,1136.20670000,1640894399999,54287756.03466870,34449,593.99039000,28384804.70308270,0
1640894400000,47558.35000000,47682.07000000,47071.00000000,47203.16000000,1456.46283000,1640897999999,68961190.50516350,39037,694.12599000,32859163.54146770,0
1640898000000,47203.16000000,47347.84000000,46919.44000000,47300.00000000,890.70108000,1640901599999,42026223.74573650,34150,406.78740000,19192182.98538950,0
1640901600000,47299.99000000,47325.33000000,46729.00000000,47084.88000000,792.93614000,1640905199999,37294932.13057660,32869,404.90476000,19047302.73930950,0
1640905200000,47084.88000000,47242.60000000,46940.96000000,47120.87000000,710.18694000,1640908799999,33448068.48733300,29876,344.42736000,16222292.88155820,0
1640908800000,47120.88000000,47500.00000000,46826.21000000,47073.98000000,1084.11426000,1640912399999,51095337.58044270,39334,487.53280000,22990626.34192550,0
1640912400000,47073.99000000,47349.10000000,46842.28000000,47121.94000000,762.07203000,1640915999999,35892514.64074970,32790,370.86183000,17466633.80475340,0
1640916000000,47121.95000000,47127.53000000,46825.38000000,46994.85000000,798.66344000,1640919599999,37489111.75435630,26873,454.82260000,21345655.93105850,0
1640919600000,46994.85000000,47281.68000000,46906.70000000,47201.85000000,633.32006000,1640923199999,29829864.90528320,27771,341.59913000,16091061.61333720,0
