open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1639454400000,46952.01000000,47176.22000000,46861.80000000,46989.67000000,1274.66918000,1639457999999,59978197.50524180,35971,610.34488000,28715289.97927720,0
1639458000000,46989.68000000,47133.99000000,46675.00000000,46701.26000000,1209.30338000,1639461599999,56756061.09162270,33247,590.62689000,27723625.20470530,0
1639461600000,46701.26000000,46961.14000000,46306.80000000,46670.32000000,1672.77134000,1639465199999,77957975.20414390,49787,864.96980000,40316998.48387880,0
1639465200000,46670.32000000,47050.00000000,46506.38000000,47000.00000000,1246.92289000,1639468799999,58341876.71845380,40448,655.30891000,30666113.06297350,0
1639468800000,46999.99000000,47516.25000000,46968.24000000,47462.00000000,2292.92478000,1639472399999,108276733.86518220,57357,1240.25275000,58582869.20756210,0
1639472400000,47462.00000000,47498.66000000,46789.69000000,46832.65000000,1844.99023000,1639475999999,86970749.46340100,44934,867.13208000,40851006.42289170,0
1639476000000,46833.11000000,47383.88000000,46800.00000000,47345.50000000,1654.17270000,1639479599999,77946504.11433020,48705,820.07608000,38644942.30237260,0
1639479600000,47345.50000000,47740.00000000,47178.66000000,47622.00000000,1848.51791000,1639483199999,87649554.26763120,57661,914.54133000,43374454.06946670,0
1639483200000,47617.99000000,47959.77000000,47505.91000000,47508.31000000,2248.94580000,1639486799999,107385716.35508270,72147,1047.92017000,50043050.75869340,0
1639486800000,47508.31000000,47679.46000000,46980.94000000,47168.15000000,2092.83220000,1639490399999,98956154.33942050,55703,949.21901000,44877672.75648830,0
1639490400000,47168.15000000,47333.33000000,46814.27000000,47281.94000000,1847.79492000,1639493999999,86954248.73579760,56350,922.69377000,43428337.66472320,0
1639494000000,47281.93000000,47517.27000000,46617.25000000,46853.86000000,2245.26816000,1639497599999,105855192.08131060,61119,1075.62942000,50710360.03628250,0
1639497600000,46853.87000000,47148.00000000,46532.35000000,46737.53000000,2027.82043000,1639501199999,95079497.90258600,59679,1006.47499000,47194562.16697460,0
1639501200000,46739.58000000,47100.01000000,46543.00000000,46622.03000000,1558.66499000,1639504799999,73038437.83300380,44701,773.60883000,36247339.78207340,0
1639504800000,46622.02000000,46946.15000000,46429.88000000,46646.68000000,1459.37371000,1639508399999,68081136.84934430,49404,710.26680000,33140834.61650120,0
1639508400000,46646.68000000,47074.44000000,46631.84000000,46859.40000000,1102.35018000,1639511999999,51698218.93674810,38280,598.87326000,28087011.14925120,0
1639512000000,46859.42000000,47900.00000000,46839.78000000,47785.20000000,2355.65086000,1639515599999,111842533.96488670,65880,1301.36344000,61773700.90236070,0
1639515600000,47786.13000000,48700.41000000,47746.19000000,48283.50000000,2992.57045000,1639519199999,144535510.72555340,79564,1599.53914000,77237015.07929030,0
1639519200000,48283.49000000,48468.18000000,48000.00000000,48268.00000000,1117.84794000,1639522799999,53940716.46184640,50540,585.57321000,28265337.88929940,0
1639522800000,48268.01000000,48440.00000000,48144.18000000,48343.28000000,1094.92332000,1639526399999,52862981.07033430,32492,627.38416000,30293551.13850750,0
1639526400000,48336.95000000,48761.00000000,48067.04000000,48136.92000000,1962.15338000,1639529999999,94924013.04991330,54690,1001.46450000,48464600.95925240,0
1639530000000,48136.93000000,48180.58000000,47901.00000000,48073.46000000,1235.00149000,1639533599999,59353971.55929110,34547,533.10628000,25626537.51637250,0
1639533600000,48073.47000000,48095.45000000,47836.00000000,47997.58000000,970.64786000,1639537199999,46523506.25596750,33378,471.48290000,22595535.32228040,0
1639537200000,47997.57000000,48299.99000000,47899.95000000,48262.41000000,957.58234000,1639540799999,46023517.47344050,31368,438.57230000,21081422.63156440,0
