open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1634616000000,62588.86000000,62820.20000000,62256.37000000,62429.00000000,1359.08907000,1634619599999,85082567.63581940,48896,717.02214000,44893582.48015050,0
1634619600000,62429.00000000,62573.24000000,62301.70000000,62476.65000000,1139.51823000,1634623199999,71136015.72276920,30614,637.28107000,39785389.88189830,0
1634623200000,62476.66000000,62509.30000000,61986.85000000,62194.72000000,1624.49653000,1634626799999,101060386.37201040,45195,765.84342000,47645506.94727320,0
1634626800000,62194.72000000,62340.00000000,61994.52000000,62297.06000000,1127.15668000,1634630399999,70023919.32055920,32397,655.79012000,40737666.55601420,0
1634630400000,62297.06000000,62574.42000000,61743.61000000,62539.91000000,1677.87910000,1634633999999,104156451.34633530,48324,853.58994000,52997557.12513500,0
1634634000000,62539.92000000,62548.06000000,61900.00000000,62139.09000000,1253.42975000,1634637599999,77935280.67202030,54890,608.41491000,37825155.47315320,0
1634637600000,62139.09000000,62400.00000000,62043.80000000,62249.85000000,1099.51737000,1634641199999,68398216.05733030,30926,502.94096000,31288527.03223480,0
1634641200000,62249.86000000,62337.41000000,62065.30000000,62128.39000000,967.23449000,1634644799999,60156167.01099570,32050,469.50679000,29199939.60597780,0
1634644800000,62128.39000000,62515.00000000,62000.00000000,62223.65000000,1751.80697000,1634648399999,109043795.49593870,53631,952.66206000,59316443.08677140,0
1634648400000,62223.65000000,63278.61000000,62070.00000000,62604.41000000,6361.61017600,1634651999999,399065928.53359073,186455,3308.04005000,207547715.15034846,0
1634652000000,62604.41000000,62686.21000000,61322.22000000,62531.22000000,5253.44850000,1634655599999,325949057.36615210,131935,2509.74806000,155735658.08743850,0
1634655600000,62531.22000000,62800.00000000,62323.00000000,62395.99000000,2113.79897000,1634659199999,132331000.10559030,73990,1088.96386000,68172976.09524590,0
1634659200000,62395.99000000,63180.00000000,62311.02000000,63172.17000000,2134.90857000,1634662799999,134008658.82684180,70912,1152.97766000,72394828.62739920,0
1634662800000,63168.99000000,63480.00000000,63036.50000000,63411.27000000,2945.60015100,1634666399999,186436076.17151932,112037,1515.56531100,95930274.18921766,0
1634666400000,63411.26000000,63628.65000000,63081.37000000,63429.96000000,2636.61756900,1634669999999,167106721.46411447,85079,1339.16964700,84890289.90901457,0
1634670000000,63429.97000000,64299.00000000,63398.20000000,64177.15000000,4507.02225600,1634673599999,287848707.75191195,159780,2463.87945400,157394851.69557798,0
1634673600000,64170.58000000,64343.00000000,63801.00000000,64116.96000000,3084.06124100,1634677199999,197875159.92247191,100535,1431.05244200,91814637.88215471,0
1634677200000,64116.96000000,64192.31000000,63590.00000000,64067.70000000,2006.29465000,1634680799999,128311786.94135170,75392,915.96342000,58584311.59740740,0
1634680800000,64067.71000000,64230.18000000,63827.99000000,64080.16000000,1527.33075000,1634684399999,97809036.43595910,65796,780.59272000,49987572.42930590,0
1634684400000,64083.38000000,64486.00000000,63995.00000000,64280.59000000,1549.11414300,1634687999999,99532594.88455334,65506,769.98717100,49486026.69821602,0
1634688000000,64280.59000000,64375.34000000,63982.76000000,64064.98000000,1194.72577000,1634691599999,76629269.35481750,38233,552.53687000,35439488.88291220,0
1634691600000,64064.97000000,64192.61000000,63715.66000000,63822.57000000,1311.82723000,1634695199999,83939041.68537330,38993,670.53431000,42905941.83315940,0
1634695200000,63822.57000000,63939.45000000,63699.60000000,63797.73000000,854.58013000,1634698799999,54554295.60227700,39722,437.86764000,27954099.84911980,0
1634698800000,63797.73000000,64041.96000000,63793.65000000,63844.67000000,1059.93035000,1634702399999,67743657.97666900,44734,534.13060000,34137982.23811660,0
