open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1637899200000,57900.90000000,58013.39000000,57669.39000000,57819.58000000,1548.95546000,1637902799999,89579306.25708370,57711,738.04147000,42685822.17392430,0
1637902800000,57819.58000000,57860.85000000,57478.62000000,57839.05000000,1301.79382000,1637906399999,75081152.93846110,54487,574.77730000,33159590.53944100,0
1637906400000,57839.05000000,57920.75000000,57429.74000000,57586.52000000,1107.43218000,1637909999999,63889830.24751610,50351,545.01124000,31444838.27874040,0
1637910000000,57586.53000000,57652.07000000,56636.57000000,56957.86000000,3040.29803000,1637913599999,173634613.43345830,97528,1403.21890000,80137349.57202770,0
1637913600000,56966.32000000,56966.32000000,54350.00000000,55210.90000000,13418.65490000,1637917199999,745265912.02415450,366733,5883.82371000,327181991.34613760,0
1637917200000,55210.90000000,55472.54000000,54580.01000000,54874.23000000,5013.20061000,1637920799999,276089235.37122030,157344,2369.04886000,130496794.10591900,0
1637920800000,54874.24000000,54904.00000000,54304.60000000,54393.79000000,4185.29175000,1637924399999,228621626.56590440,114419,2076.87305000,113458722.82729790,0
1637924400000,54393.79000000,54826.80000000,53680.45000000,53719.30000000,5594.04115000,1637927999999,303157662.24570780,166057,2662.85277000,144406365.20940470,0
1637928000000,53719.31000000,54371.77000000,53500.00000000,54299.98000000,4962.65077000,1637931599999,267636025.62120470,146551,2522.55766000,136061120.34521820,0
1637931600000,54299.99000000,54641.71000000,53960.29000000,54595.12000000,2735.58695000,1637935199999,148427309.58957080,103941,1395.07751000,75709643.95862660,0
1637935200000,54596.70000000,54878.38000000,54288.47000000,54644.69000000,3187.71462000,1637938799999,174081395.60087140,100832,1616.95786000,88286817.49498990,0
1637938800000,54644.68000000,54644.69000000,54212.00000000,54341.55000000,1902.39676000,1637942399999,103525043.53855820,70959,916.00019000,49848369.98698620,0
1637942400000,54341.54000000,54567.95000000,54019.16000000,54275.13000000,1943.23159000,1637945999999,105515692.45164530,70777,903.92945000,49085465.95492080,0
1637946000000,54274.00000000,54648.93000000,54150.00000000,54212.92000000,1524.94501000,1637949599999,82901727.75220710,55357,778.51721000,42320688.15251010,0
1637949600000,54212.92000000,54337.07000000,53927.44000000,54081.76000000,1505.62530000,1637953199999,81504875.85536380,54426,732.56689000,39660185.86817770,0
1637953200000,54081.76000000,54446.82000000,54000.00000000,54326.76000000,1140.28048000,1637956799999,61853184.03330080,41090,528.06863000,28646363.23640330,0
1637956800000,54326.77000000,54584.74000000,54209.86000000,54515.70000000,988.35147000,1637960399999,53722199.17506650,41076,482.52426000,26230522.12196540,0
1637960400000,54515.70000000,54568.99000000,53959.99000000,53973.04000000,1161.71683000,1637963999999,63058856.27801470,46413,494.83849000,26871559.00343340,0
1637964000000,53973.04000000,54398.99000000,53800.00000000,54062.75000000,1200.55026000,1637967599999,64952359.76799550,51004,576.96938000,31214870.64044660,0
1637967600000,54062.76000000,54203.76000000,53521.00000000,53726.53000000,1740.58763000,1637971199999,93651830.49551750,59142,821.69777000,44223009.81957950,0
1637971200000,53723.72000000,54641.99000000,53610.00000000,54082.72000000,1882.51474000,1637974799999,101925272.83357490,69005,931.58610000,50440406.54077460,0
1637974800000,54082.72000000,54340.21000000,53901.00000000,54146.25000000,1568.33460000,1637978399999,84917139.77848200,55733,797.32932000,43174770.37269220,0
1637978400000,54146.25000000,54512.17000000,54113.00000000,54374.25000000,1251.16520000,1637981999999,67958014.06813090,46578,613.91162000,33345604.93105000,0
1637982000000,54374.25000000,54608.22000000,54262.83000000,54347.07000000,1581.79161000,1637985599999,86125692.60023900,44548,635.35286000,34592356.48334530,0
