open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1636344000000,65200.00000000,65357.00000000,65050.77000000,65168.20000000,1314.57002000,1636347599999,85742653.29606110,59570,658.58761000,42956738.57964630,0
1636347600000,65168.20000000,65615.41000000,65093.01000000,65451.74000000,1800.55530000,1636351199999,117725544.66848730,75145,975.12519000,63766427.24713070,0
1636351200000,65451.73000000,66150.02000000,65367.88000000,65928.80000000,2816.80962000,1636354799999,185560588.97032420,142302,1524.02674000,100408136.04999020,0
1636354800000,65928.81000000,66342.58000000,65588.60000000,65941.89000000,2348.68744000,1636358399999,154805942.12413980,108141,1276.50923000,84150538.68610260,0
1636358400000,65941.88000000,66287.75000000,65600.01000000,66232.00000000,2786.06095000,1636361999999,183483182.59232210,95654,1617.54557000,106532506.39194900,0
1636362000000,66232.00000000,66423.00000000,65994.25000000,66069.70000000,2655.78944000,1636365599999,175778728.23193880,93576,1421.00036000,94057406.11650120,0
1636365600000,66069.69000000,66151.73000000,65702.43000000,66021.54000000,1726.25257000,1636369199999,113808023.38416680,80870,840.14281000,55386190.06816540,0
1636369200000,66021.55000000,66084.32000000,65750.00000000,66037.21000000,1272.55595000,1636372799999,83854373.33683390,57626,645.91192000,42568028.11503410,0
1636372800000,66037.21000000,66160.00000000,65725.00000000,65794.58000000,1325.33341000,1636376399999,87327381.74966210,61686,606.90412000,39992977.13425660,0
1636376400000,65794.58000000,65949.98000000,65288.00000000,65377.49000000,1880.84963000,1636379999999,123423687.78235250,89237,877.91330000,57595230.48545610,0
1636380000000,65377.49000000,65549.00000000,65122.00000000,65326.06000000,1761.00843000,1636383599999,115119847.70953960,64843,838.24410000,54805729.29488090,0
1636383600000,65328.01000000,66524.43000000,65261.13000000,66379.41000000,2498.52297000,1636387199999,164913223.51881020,106856,1448.68113000,95641782.65204250,0
1636387200000,66382.01000000,66538.53000000,65858.17000000,65932.46000000,1938.26098000,1636390799999,128229532.43641670,85574,940.08351000,62197585.65248590,0
1636390800000,65932.45000000,66198.99000000,65805.11000000,65969.04000000,1191.15920000,1636394399999,78618302.34807290,62431,578.39138000,38173980.96873700,0
1636394400000,65969.05000000,66000.00000000,65743.17000000,65913.00000000,859.36260000,1636397999999,56617078.97560730,56314,384.84927000,25355340.54326150,0
1636398000000,65913.00000000,66095.19000000,65821.01000000,65835.01000000,1050.32387000,1636401599999,69272920.69052660,62333,544.39512000,35907886.91366870,0
1636401600000,65835.01000000,66168.00000000,65500.00000000,66036.89000000,2084.89237000,1636405199999,137315811.17506200,82841,1041.37064000,68596813.56826650,0
1636405200000,66036.88000000,66429.84000000,65939.85000000,66121.63000000,1339.11971000,1636408799999,88718860.21726930,66586,753.46630000,49915395.64104390,0
1636408800000,66121.62000000,66550.00000000,66064.06000000,66510.88000000,1100.79852000,1636412399999,73013942.54596840,49716,538.70156000,35743211.44758130,0
1636412400000,66510.87000000,67789.00000000,66351.65000000,67525.83000000,5072.14583400,1636415999999,341397396.74724756,260504,3013.57783600,202790516.99772986,0
1636416000000,67525.82000000,67732.33000000,67015.20000000,67603.30000000,2403.93267000,1636419599999,162174807.78034470,104074,1268.28404000,85567163.11324500,0
1636419600000,67603.30000000,67639.80000000,67310.28000000,67508.40000000,1373.63361000,1636423199999,92671083.19405440,52685,709.13065000,47839229.49320380,0
1636423200000,67504.60000000,67815.00000000,67271.69000000,67613.98000000,1538.29853200,1636426799999,103903952.83419512,55502,832.27345000,56221416.10195722,0
1636426800000,67613.98000000,68524.25000000,67511.55000000,68490.00000000,3397.21766600,1636430399999,231168472.04898175,152899,1996.22235200,135859538.49140497,0
