open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1636776000000,63773.93000000,63922.99000000,63555.00000000,63704.67000000,694.29456000,1636779599999,44254626.40795260,27798,352.90279000,22494367.17793700,0
1636779600000,63704.66000000,63846.93000000,63510.00000000,63597.54000000,640.36123000,1636783199999,40766960.92035870,28150,328.48055000,20915401.04079150,0
1636783200000,63597.54000000,63866.76000000,63581.34000000,63844.16000000,686.09782000,1636786799999,43727422.11763370,28241,354.03376000,22561560.20592000,0
1636786800000,63844.16000000,64123.00000000,63700.92000000,64029.99000000,781.93080000,1636790399999,49938661.79493590,29327,366.11684000,23383060.15121690,0
1636790400000,64029.99000000,64081.50000000,63738.18000000,63807.29000000,655.04407000,1636793999999,41877894.97521580,29288,289.63105000,18515701.15752000,0
1636794000000,63807.28000000,63883.53000000,63360.22000000,63453.16000000,1354.30489000,1636797599999,86159428.79479430,44390,615.85909000,39188271.56244440,0
1636797600000,63453.17000000,63737.81000000,63373.34000000,63707.03000000,751.26069000,1636801199999,47743238.88121480,34462,365.62409000,23236801.42007020,0
1636801200000,63707.03000000,63807.91000000,63502.26000000,63554.23000000,688.78270000,1636804799999,43836095.34908320,32035,327.70111000,20857433.32262890,0
1636804800000,63554.23000000,63811.71000000,63427.86000000,63530.26000000,982.02587000,1636808399999,62419925.78622550,40687,500.52832000,31816025.07082200,0
1636808400000,63530.26000000,63750.00000000,63462.00000000,63594.82000000,909.36653000,1636811999999,57803435.22959170,35226,419.26451000,26651215.02163650,0
1636812000000,63594.83000000,64843.00000000,63543.23000000,64725.78000000,3121.44962000,1636815599999,200938379.72230290,97567,1730.08176000,111356885.35035840,0
1636815600000,64725.77000000,64790.50000000,64523.76000000,64688.99000000,1030.99168000,1636819199999,66674652.89640450,43558,470.52131000,30426894.59952820,0
1636819200000,64689.00000000,65000.00000000,64600.00000000,64616.64000000,1718.24918000,1636822799999,111391906.18314480,54819,860.88485000,55824991.70649470,0
1636822800000,64616.65000000,64692.16000000,64500.00000000,64659.02000000,728.22041000,1636826399999,47059082.77549210,36433,353.29474000,22830297.26325940,0
1636826400000,64659.03000000,64689.82000000,63920.00000000,64134.69000000,1438.77451000,1636829999999,92431146.67467890,52404,578.12733000,37138818.69894090,0
1636830000000,64134.68000000,64200.00000000,63829.01000000,63941.65000000,781.24450000,1636833599999,50001053.56445960,36870,396.70008000,25389517.10657950,0
1636833600000,63941.65000000,64438.81000000,63918.89000000,64359.29000000,629.17701000,1636837199999,40372370.22422300,32427,324.71175000,20835473.55647700,0
1636837200000,64359.30000000,64391.43000000,64113.00000000,64365.82000000,580.99379000,1636840799999,37330792.75457620,33014,297.64790000,19123827.89141960,0
1636840800000,64365.82000000,64418.97000000,64116.00000000,64275.24000000,572.08908000,1636844399999,36789681.16393170,33379,262.05892000,16852242.78113500,0
1636844400000,64275.24000000,64550.50000000,64220.70000000,64380.00000000,473.40227000,1636847999999,30471345.42384460,24295,253.02453000,16286965.32851740,0
1636848000000,64380.01000000,65320.00000000,64380.00000000,64974.06000000,2003.82749000,1636851599999,130236030.37834310,70064,1149.56628000,74712110.80525630,0
1636851600000,64974.05000000,65079.99000000,64616.17000000,64789.04000000,807.45372000,1636855199999,52373628.30148710,31145,404.70142000,26251406.94470130,0
1636855200000,64789.04000000,64925.07000000,64611.11000000,64629.99000000,639.41547000,1636858799999,41413977.07499050,26112,278.40607000,18031249.74003230,0
1636858800000,64629.98000000,64838.60000000,64530.61000000,64637.81000000,733.63741000,1636862399999,47451742.71941700,30736,306.93121000,19852647.88648710,0
